timestamp,video_id,viewers,started_at,duration,status_text,url
1662569521,xI6ph__1wnc,3652,1662566757,2766,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=2766
1662569581,xI6ph__1wnc,3692,1662566757,2826,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=2826
1662569641,xI6ph__1wnc,3735,1662566757,2886,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=2886
1662569700,xI6ph__1wnc,3800,1662566757,2945,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=2945
1662569760,xI6ph__1wnc,3842,1662566757,3005,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=3005
1662569821,xI6ph__1wnc,3880,1662566757,3066,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=3066
1662569881,xI6ph__1wnc,3895,1662566757,3126,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=3126
1662569940,xI6ph__1wnc,3918,1662566757,3185,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=3185
1662570000,xI6ph__1wnc,3938,1662566757,3245,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=3245
1662570060,xI6ph__1wnc,3949,1662566757,3305,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=3305
1662570120,xI6ph__1wnc,3931,1662566757,3365,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=3365
1662570181,xI6ph__1wnc,3951,1662566757,3426,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=3426
1662570240,xI6ph__1wnc,3967,1662566757,3485,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=3485
1662570301,xI6ph__1wnc,3975,1662566757,3546,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=3546
1662570361,xI6ph__1wnc,4064,1662566757,3606,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=3606
1662570421,xI6ph__1wnc,4055,1662566757,3666,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=3666
1662570481,xI6ph__1wnc,4088,1662566757,3726,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=3726
1662570540,xI6ph__1wnc,4079,1662566757,3785,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=3785
1662570600,xI6ph__1wnc,4145,1662566757,3845,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=3845
1662570660,xI6ph__1wnc,4187,1662566757,3905,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=3905
1662570721,xI6ph__1wnc,4213,1662566757,3966,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=3966
1662570781,xI6ph__1wnc,4282,1662566757,4026,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=4026
1662570840,xI6ph__1wnc,4300,1662566757,4085,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=4085
