timestamp,video_id,viewers,started_at,duration,status_text,url
1662669962,haYOA1fMg54,9003,1662655106,14856,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=14856
1662670022,haYOA1fMg54,8984,1662655106,14916,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=14916
1662670083,haYOA1fMg54,8984,1662655106,14977,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=14977
1662670142,haYOA1fMg54,8964,1662655106,15036,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=15036
1662670202,haYOA1fMg54,9017,1662655106,15097,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=15097
1662670263,haYOA1fMg54,9098,1662655106,15158,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=15158
1662670322,haYOA1fMg54,9047,1662655106,15217,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=15217
1662670382,haYOA1fMg54,9072,1662655106,15276,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=15276
1662670442,haYOA1fMg54,9124,1662655106,15336,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=15336
1662670503,haYOA1fMg54,9112,1662655106,15397,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=15397
1662670562,haYOA1fMg54,9106,1662655106,15456,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=15456
1662670622,haYOA1fMg54,9103,1662655106,15517,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=15517
1662670682,haYOA1fMg54,9052,1662655106,15576,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=15576
1662670742,haYOA1fMg54,9073,1662655106,15637,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=15637
1662670808,haYOA1fMg54,9027,1662655106,15702,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=15702
1662670862,haYOA1fMg54,8955,1662655106,15757,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=15757
1662670923,haYOA1fMg54,8947,1662655106,15817,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=15817
1662670982,haYOA1fMg54,8910,1662655106,15876,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=15876
1662671043,haYOA1fMg54,8884,1662655106,15937,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=15937
1662671103,haYOA1fMg54,8994,1662655106,15997,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=15997
1662671162,haYOA1fMg54,8977,1662655106,16056,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=16056
1662671223,haYOA1fMg54,8957,1662655106,16117,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=16117
1662671282,haYOA1fMg54,8955,1662655106,16177,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=16177
1662671343,haYOA1fMg54,8765,1662655106,16237,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=16237
1662671402,haYOA1fMg54,8575,1662655106,16297,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=16297
1662671462,haYOA1fMg54,8439,1662655106,16357,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=16357
1662671522,haYOA1fMg54,8354,1662655106,16417,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=16417
1662671583,haYOA1fMg54,8267,1662655106,16477,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=16477
1662671642,haYOA1fMg54,8318,1662655106,16537,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=16537
1662671703,haYOA1fMg54,8376,1662655106,16598,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=16598
1662671762,haYOA1fMg54,8419,1662655106,16656,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=16656
1662671823,haYOA1fMg54,8448,1662655106,16718,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=16718
1662671882,haYOA1fMg54,8440,1662655106,16776,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=16776
1662671942,haYOA1fMg54,8491,1662655106,16837,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=16837
1662672002,haYOA1fMg54,8527,1662655106,16896,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=16896
1662672062,haYOA1fMg54,8531,1662655106,16957,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=16957
1662672122,haYOA1fMg54,8535,1662655106,17016,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=17016
1662672183,haYOA1fMg54,8531,1662655106,17078,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=17078
1662672242,haYOA1fMg54,8616,1662655106,17137,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=17137
1662672302,haYOA1fMg54,8617,1662655106,17197,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=17197
1662672363,haYOA1fMg54,8664,1662655106,17258,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=17258
1662672422,haYOA1fMg54,8632,1662655106,17317,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=17317
1662672482,haYOA1fMg54,8635,1662655106,17376,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=17376
1662672542,haYOA1fMg54,8665,1662655106,17436,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=17436
1662672602,haYOA1fMg54,8651,1662655106,17497,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=17497
1662672662,haYOA1fMg54,8637,1662655106,17557,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=17557
1662672722,haYOA1fMg54,8680,1662655106,17616,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=17616
1662672782,haYOA1fMg54,8724,1662655106,17676,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=17676
1662672842,haYOA1fMg54,8799,1662655106,17737,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=17737
1662672902,haYOA1fMg54,8882,1662655106,17796,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=17796
1662672962,haYOA1fMg54,8894,1662655106,17857,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=17857
1662673022,haYOA1fMg54,8930,1662655106,17917,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=17917
1662673082,haYOA1fMg54,8940,1662655106,17977,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=17977
1662673144,haYOA1fMg54,8968,1662655106,18038,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=18038
1662673203,haYOA1fMg54,8940,1662655106,18097,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=18097
1662673263,haYOA1fMg54,8954,1662655106,18157,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=18157
